,有價證券代號及名稱
1190,030163　崇越統一44購01
1191,030164　崇越統一47購01
1192,030165　聯茂統一44購04
1193,030166　聯茂統一46購01
1194,030167　至上統一44購03
1195,030168　元債2X元富4A購03
1196,030169　華新元富3A購01
1197,03016P　臺股指法興3C售08
1198,03016X　元展16
1199,030170　華新元富3A購02
1200,030171　華榮元富3A購04
1201,030172　大亞元富44購01
1202,030173　宏泰元富3A購02
1203,030174　合機元富42購01
1204,030175　美時元富3A購02
1205,030176　美時元富3A購03
1206,030177　台積電元富3B購08
1207,030178　台積電元富3C購09
1208,030179　台積電元富3C購10
1209,03017P　臺股指法興3C售09
1210,03017X　元展17
1211,030180　台積電元富44購05
1212,030181　台光電元富3A購08
1213,030182　聯發科元富44購06
1214,030183　聯發科元富44購07
1215,030184　漢翔元富3B購01
1216,030185　牧德元富3A購03
1217,030186　崇越元富3A購01
1218,030187　崇越元富3A購02
1219,030188　同欣電元富3B購01
1220,030189　南電元富3A購02
1221,03018P　臺股指法興3C售10
1222,030190　T50正2凱基3A購03
1223,030191　聚陽凱基3A購01
1224,030192　東元凱基3A購05
1225,030193　華電凱基42購01
1226,030194　華新凱基3C購01
1227,030195　華榮凱基3A購05
1228,030196　華榮凱基3B購02
1229,030197　華榮凱基42購01
1230,030198　大亞凱基41購01
1231,030199　大亞凱基44購02
1232,03019P　臺股指群益3C售25
1233,03019X　元展19
1234,030200　宏泰凱基3B購01
1235,030201　宏泰凱基3B購02
1236,030202　大山凱基3A購02
1237,030203　合機凱基41購01
1238,030204　美時凱基3A購05
1239,030205　光寶科凱基3A購08
1240,030206　台達電凱基3A購11
1241,030207　華通凱基42購01
1242,030208　海悅凱基3B購01
1243,030209　大同凱基44購01
1244,03020P　臺股指群益3C售26
1245,03020X　元展20
1246,030210　大同凱基44購02
1247,030211　大同凱基44購03
1248,030212　台光電凱基3A購10
1249,030213　國產凱基3C購01
1250,030214　漢翔凱基42購01
1251,030215　慧洋凱基3B購02
1252,030216　大立光凱基3B購07
1253,030217　嘉晶凱基3A購04
1254,030218　奇鋐凱基3B購05
1255,030219　緯創凱基3A購13
1256,03021P　臺股指群益3C售27
1257,030220　創意凱基3A購16
1258,030221　辛耘凱基3A購05
1259,030222　辛耘凱基3C購04
1260,030223　洋華凱基3A購04
1261,030224　材料凱基3A購05
1262,030225　聯德凱基3A購02
1263,030226　天鈺凱基3B購03
